customer_id,age,annual_income,spend_score,tenure_years,region,membership_tier
CUST00094,26.0,31534.14,53.76,1.48,North,Basic
CUST00095,43.0,51433.53,23.78,2.04,East,Silver
CUST00096,20.0,39673.35,97.66,2.07,North,Basic
CUST00097,28.0,27739.06,75.91,3.2,South,Silver
CUST00098,26.0,35291.85,64.2,0.63,East,Basic
CUST00099,64.0,74055.82,,0.19,East,Basic
CUST00100,69.0,107216.82,66.44,1.55,East,Gold
CUST00101,47.0,56117.9,46.28,0.32,West,Basic
CUST00102,24.0,32759.45,55.62,1.81,,Silver
CUST00103,64.0,82334.92,67.07,4.52,West,Gold
CUST00104,67.0,106230.82,45.41,1.74,South,Gold
CUST00105,33.0,78441.91,32.46,2.16,South,Basic
CUST00106,50.0,67163.81,36.66,2.56,West,Gold
CUST00107,23.0,34197.62,63.84,3.83,South,Gold
CUST00108,23.0,34085.42,95.38,2.38,,Basic
CUST00109,55.0,70745.62,89.36,1.56,East,Gold
CUST00110,45.0,,59.11,1.5,East,Gold
CUST00111,23.0,46021.89,68.04,0.58,East,Silver
CUST00112,23.0,34982.0,76.21,1.54,North,Silver
CUST00113,46.0,93572.4,46.71,4.0,East,Gold
CUST00114,24.0,29385.86,46.39,1.41,North,Platinum
CUST00115,54.0,56224.95,51.27,1.23,East,Silver
CUST00116,49.0,68554.27,45.2,2.24,East,Gold
CUST00117,47.0,102393.14,29.74,,West,Gold
CUST00118,50.0,57993.43,38.92,0.25,West,Gold
CUST00119,,94927.18,47.38,3.51,North,Platinum
CUST00120,41.0,65152.71,,0.92,North,Basic
CUST00121,38.0,105198.7,43.7,0.82,East,Basic
CUST00122,24.0,44855.0,67.18,5.56,West,Silver
CUST00123,45.0,59759.75,15.01,6.52,North,Silver
CUST00124,24.0,36991.31,86.44,1.89,South,Silver
CUST00125,49.0,86717.72,40.31,2.68,South,Gold
CUST00126,25.0,38875.63,61.08,9.12,South,Platinum
CUST00127,,44741.8,70.15,1.38,East,Silver
CUST00128,21.0,42355.39,70.0,5.34,South,Gold
CUST00129,39.0,86375.3,49.42,3.55,South,Basic
CUST00130,27.0,37870.37,100.0,8.09,West,Silver
CUST00131,58.0,92159.21,58.08,0.69,South,Basic
CUST00132,43.0,62805.39,38.86,4.41,North,Silver
CUST00133,25.0,30188.31,74.89,0.46,West,Silver
CUST00134,50.0,93232.24,46.01,4.4,South,Gold
CUST00135,21.0,36729.64,70.65,1.04,West,Silver
CUST00136,45.0,96612.16,43.84,0.15,West,Basic
CUST00137,48.0,79309.36,54.36,4.73,East,Basic
CUST00138,45.0,77786.34,,0.14,North,Basic
CUST00139,19.0,35087.86,79.2,5.01,West,Platinum
CUST00140,47.0,72701.54,39.38,0.57,East,Platinum
CUST00141,36.0,62638.04,43.37,2.23,South,Basic
CUST00142,53.0,100617.09,37.22,0.09,West,Basic
CUST00143,40.0,80003.24,35.95,0.21,West,Silver
CUST00144,42.0,77782.7,49.94,0.79,West,Silver
CUST00145,18.0,33289.63,47.57,1.2,North,Basic
CUST00146,19.0,20596.17,71.75,0.52,East,Basic
CUST00147,46.0,78639.66,23.02,0.32,South,Silver
CUST00148,51.0,83349.25,53.47,0.41,North,Basic
CUST00149,26.0,34439.9,85.68,1.79,South,Basic
CUST00150,55.0,107647.52,,0.16,North,Basic
CUST00151,64.0,100641.76,50.9,6.47,North,Silver
CUST00152,21.0,30664.13,43.43,6.63,East,Silver
CUST00153,34.0,85026.27,48.2,0.18,East,Basic
CUST00154,25.0,39337.56,52.12,3.3,South,Silver
CUST00155,50.0,75777.48,60.78,3.08,North,Silver
CUST00156,24.0,36164.12,85.32,2.16,,Gold
CUST00157,47.0,67102.4,35.37,0.77,East,Platinum
CUST00158,56.0,58126.06,31.98,2.17,East,Basic
CUST00159,60.0,85239.6,38.9,5.13,North,Gold
CUST00160,28.0,22024.6,62.94,0.92,North,Gold
CUST00161,57.0,81540.58,65.17,4.19,North,Silver
CUST00162,18.0,40049.91,66.25,1.66,North,Basic
CUST00163,29.0,38841.93,39.42,5.94,West,Basic
CUST00164,48.0,120476.44,33.74,2.56,South,Basic
CUST00165,21.0,32435.68,,4.65,East,Platinum
CUST00166,49.0,107636.09,,8.09,West,Silver
CUST00167,58.0,150993.94,53.83,1.51,West,Silver
CUST00168,29.0,31103.09,75.38,3.01,South,Silver
CUST00169,56.0,61664.84,85.86,9.47,South,Basic
CUST00170,27.0,51165.12,36.17,14.88,South,Basic
CUST00171,,101650.8,,2.21,North,Silver
CUST00172,21.0,38998.3,77.79,7.66,,Silver
CUST00173,60.0,89359.42,67.94,1.22,East,Gold
CUST00174,24.0,34134.13,52.78,1.38,,Silver
CUST00175,21.0,31530.98,71.33,7.41,East,Silver
CUST00176,47.0,72989.59,18.14,2.66,East,Gold
CUST00177,61.0,90451.59,51.89,4.78,North,Basic
CUST00178,55.0,85065.51,57.95,,East,Silver
CUST00179,43.0,115076.45,40.96,4.39,,Gold
CUST00180,54.0,69562.9,63.89,5.15,East,Basic
CUST00181,59.0,102940.63,44.57,1.32,East,Basic
CUST00182,43.0,64526.68,29.15,1.93,North,Basic
CUST00183,30.0,37871.65,75.29,1.09,East,Basic
CUST00184,57.0,110187.7,99.81,5.85,West,Silver
CUST00185,35.0,83321.95,43.05,3.23,South,Basic
CUST00186,28.0,48459.07,61.05,0.49,East,Silver
CUST00187,26.0,44068.55,37.2,8.36,East,Basic
CUST00188,47.0,80106.61,41.51,2.85,North,Basic
CUST00189,25.0,36610.76,76.72,1.34,South,Basic
CUST00190,60.0,103922.82,,2.65,West,Basic
CUST00191,20.0,20523.06,67.94,0.65,West,Platinum
CUST00192,32.0,,81.04,1.02,South,Basic
CUST00193,59.0,,70.56,5.25,South,Basic
CUST00194,30.0,40119.49,61.15,1.01,West,Basic
CUST00195,26.0,46787.3,52.96,10.55,North,Basic
CUST00196,35.0,75589.7,7.13,0.73,South,Silver
CUST00197,53.0,116809.44,75.25,,North,Gold
CUST00198,26.0,38050.17,36.96,6.13,North,Basic
CUST00199,21.0,28473.39,47.29,3.44,East,Silver
CUST00200,61.0,104198.01,46.46,0.7,South,Silver
CUST00201,68.0,93576.66,39.78,1.27,West,Gold
CUST00202,54.0,80700.35,31.45,2.01,West,Silver
CUST00203,25.0,27071.15,99.17,4.11,,Basic
CUST00204,25.0,42743.99,74.69,10.84,East,Gold
CUST00205,32.0,34304.32,77.12,3.1,East,Gold
CUST00206,29.0,37718.47,59.62,3.27,East,Silver
CUST00207,34.0,,22.73,4.21,West,Platinum
CUST00208,26.0,42954.8,64.29,1.66,North,Gold
CUST00209,52.0,60283.51,44.68,0.7,East,Basic
CUST00210,38.0,64151.46,43.31,6.42,North,Gold
CUST00211,47.0,69640.42,34.07,11.35,South,Silver
CUST00212,24.0,39993.47,93.96,4.71,South,Silver
CUST00213,62.0,85462.32,56.18,0.9,East,Silver
CUST00214,54.0,62672.47,39.21,2.82,West,Gold
CUST00215,42.0,76293.81,33.23,3.22,North,Silver
CUST00216,27.0,40703.98,56.15,1.53,East,Silver
CUST00217,18.0,22134.51,52.57,3.09,North,Basic
CUST00218,62.0,91575.35,60.77,9.95,North,Silver
CUST00219,29.0,44903.07,70.99,1.92,South,Platinum
CUST00220,29.0,37295.13,,2.12,East,Gold
CUST00221,48.0,90371.35,40.6,3.26,North,Basic
CUST00222,37.0,68725.97,29.29,1.99,South,Gold
CUST00223,,88617.89,85.42,5.24,West,Gold
CUST00224,21.0,46290.54,63.02,1.53,South,Silver
CUST00225,62.0,90586.88,66.39,2.9,West,Basic
CUST00226,27.0,36637.65,93.21,4.42,West,Silver
CUST00227,42.0,81434.48,42.82,0.77,South,Basic
CUST00228,,69857.33,20.91,2.1,East,Basic
CUST00229,24.0,27057.23,62.0,1.86,East,Silver
CUST00230,20.0,33428.01,73.67,1.68,South,Platinum
CUST00231,45.0,90313.24,30.22,1.44,South,Basic
CUST00232,,103067.52,63.45,0.56,South,Gold
CUST00233,42.0,75618.09,49.37,3.52,North,Platinum
CUST00234,69.0,88902.64,42.54,0.33,North,Basic
CUST00235,63.0,,42.7,6.34,South,Basic
CUST00236,53.0,59622.31,60.09,1.22,West,Gold
CUST00237,68.0,117974.85,68.88,1.04,North,Gold
CUST00238,26.0,29568.17,57.0,1.17,North,Basic
CUST00239,23.0,34939.46,88.54,7.2,South,Silver
CUST00240,57.0,98666.84,,1.25,East,Silver
CUST00241,63.0,126207.02,55.57,2.4,North,Gold
CUST00242,20.0,,90.37,0.37,North,Gold
CUST00243,,96404.77,30.68,,North,Basic
CUST00244,44.0,76280.57,53.12,6.5,South,Basic
CUST00245,61.0,93724.91,66.93,0.12,North,Basic
CUST00246,53.0,47338.19,,1.1,West,Platinum
CUST00247,46.0,78826.23,34.88,,West,Platinum
CUST00248,25.0,33758.93,80.91,11.39,South,Gold
CUST00249,50.0,61281.36,38.55,0.75,North,Basic
CUST00250,51.0,74058.8,37.96,4.09,North,Silver
CUST00251,61.0,99705.79,67.13,4.71,South,Basic
CUST00252,49.0,53208.64,17.36,7.98,South,Basic
CUST00253,27.0,35721.25,69.2,1.38,East,Basic
CUST00254,31.0,27110.08,45.17,0.37,South,Gold
CUST00255,40.0,58870.67,55.02,0.25,South,Basic
CUST00256,58.0,79504.56,71.88,2.78,South,Silver
CUST00257,22.0,44121.68,98.62,3.59,East,Platinum
CUST00258,21.0,44659.4,82.72,1.53,East,Silver
CUST00259,42.0,91459.91,48.56,3.03,North,Basic
CUST00260,31.0,33288.37,82.27,2.37,South,Platinum
CUST00261,55.0,,61.55,1.72,East,Silver
CUST00262,24.0,,55.56,3.38,East,Silver
CUST00263,33.0,39709.12,75.0,0.37,East,Silver
CUST00264,63.0,93241.45,21.49,0.59,East,Gold
CUST00265,32.0,27244.81,69.44,3.65,East,Silver
CUST00266,25.0,27345.31,54.7,12.48,South,Silver
CUST00267,26.0,46576.47,71.52,3.14,East,Silver
CUST00268,26.0,33748.63,53.83,1.72,South,Basic
CUST00269,38.0,48122.83,76.36,4.42,South,Gold
CUST00270,28.0,30890.91,70.29,12.99,North,Basic
CUST00271,22.0,37329.64,91.01,1.19,South,Basic
CUST00272,29.0,54141.41,70.1,1.2,,Basic
CUST00273,43.0,92240.65,45.03,0.02,North,Basic
CUST00274,48.0,74329.01,41.78,1.43,South,Silver
CUST00275,29.0,45292.72,49.84,0.3,East,Silver
CUST00276,25.0,28385.53,76.09,,West,Basic
CUST00277,54.0,69444.44,40.37,9.22,North,Basic
CUST00278,63.0,57556.89,51.89,0.45,West,Gold
CUST00279,58.0,72016.81,19.9,12.62,South,Platinum
CUST00280,27.0,27395.71,65.98,2.22,East,Silver
CUST00281,18.0,33560.48,61.36,,East,Basic
CUST00282,28.0,38598.52,73.18,8.21,West,Basic
CUST00283,21.0,26933.53,75.73,1.45,North,Basic
CUST00284,41.0,58617.27,49.62,5.46,West,Basic
CUST00285,40.0,79957.79,28.28,1.39,North,Platinum
CUST00286,25.0,23569.48,60.75,0.81,West,Gold
CUST00287,22.0,31619.51,84.79,2.54,,Basic
CUST00288,45.0,80927.14,44.3,0.51,South,Platinum
CUST00289,20.0,31803.61,69.82,4.43,South,Silver
CUST00290,,128284.67,51.65,5.27,North,Basic
CUST00291,23.0,34840.79,100.0,0.75,West,Silver
CUST00292,59.0,106257.16,64.41,4.16,East,Basic
CUST00293,26.0,,74.47,3.67,West,Gold
CUST00294,53.0,74472.03,61.95,9.59,East,Basic
CUST00295,50.0,85197.23,55.51,0.33,,Silver
CUST00296,59.0,70761.81,,0.59,West,Basic
CUST00297,60.0,69425.8,49.09,1.4,South,Platinum
CUST00298,54.0,103034.98,45.85,,East,Silver
CUST00299,58.0,89416.4,44.99,1.57,South,Silver
CUST00300,60.0,101391.08,61.89,0.26,West,Basic
CUST00301,25.0,20812.68,81.37,4.55,East,Platinum
CUST00302,55.0,69004.2,31.77,3.62,South,Silver
CUST00303,48.0,,28.19,1.93,East,Basic
CUST00304,62.0,123132.31,89.12,8.54,,Gold
CUST00305,46.0,66642.44,41.2,15.63,East,Basic
CUST00306,20.0,29479.08,73.44,1.61,South,Basic
CUST00307,50.0,63892.26,48.52,8.34,South,Silver
CUST00308,26.0,36129.35,60.38,1.75,West,Basic
CUST00309,30.0,20948.19,95.41,5.07,North,Silver
CUST00310,37.0,91098.87,31.19,5.36,West,Basic
CUST00311,47.0,68908.0,22.77,1.31,North,Basic
CUST00312,18.0,19721.9,65.2,3.27,North,Basic
CUST00313,22.0,24764.03,96.39,1.47,North,Basic
CUST00314,23.0,26743.74,56.45,4.39,North,Platinum
CUST00315,23.0,34493.44,58.97,,North,Silver
CUST00316,25.0,32074.27,55.45,0.49,West,Silver
CUST00317,43.0,66255.09,46.11,5.39,West,Basic
CUST00318,29.0,42634.79,49.4,4.41,East,Gold
CUST00319,64.0,67637.54,59.48,5.18,North,Basic
CUST00320,56.0,130817.97,47.85,3.93,West,Basic
CUST00321,49.0,68379.27,28.64,5.21,East,Silver
CUST00322,19.0,28104.14,62.5,0.73,East,Silver
CUST00323,42.0,83253.81,29.47,,West,Gold
CUST00324,51.0,108250.52,75.6,0.79,South,Gold
CUST00325,53.0,89091.31,52.51,3.0,South,Gold
CUST00326,64.0,90378.81,55.37,3.13,West,Basic
CUST00327,44.0,121327.68,40.44,1.28,East,Basic
CUST00328,48.0,82739.38,30.2,3.21,East,Basic
CUST00329,24.0,38202.48,81.24,4.55,East,Gold
CUST00330,45.0,85560.23,35.44,2.33,West,Platinum
CUST00331,25.0,37418.07,56.24,0.42,South,Platinum
CUST00332,46.0,68341.48,47.31,0.95,North,Basic
CUST00333,62.0,122051.88,70.61,4.73,,Gold
CUST00334,27.0,40652.26,,1.96,East,Silver
CUST00335,,72387.38,40.13,1.51,West,Gold
CUST00336,23.0,25878.35,58.77,7.43,South,Silver
CUST00337,35.0,91311.82,59.76,1.69,East,Basic
CUST00338,30.0,,84.32,10.9,West,Basic
CUST00339,60.0,88672.69,54.86,3.68,West,Platinum
CUST00340,27.0,36295.35,67.61,6.46,West,Silver
CUST00341,61.0,99427.51,,1.79,,Basic
CUST00342,64.0,102903.46,63.5,5.51,East,Basic
CUST00343,37.0,50906.15,42.05,1.03,South,Basic
CUST00344,60.0,88677.5,69.35,1.19,,Platinum
CUST00345,56.0,,55.3,4.11,East,Basic
CUST00346,60.0,108316.66,100.0,0.43,North,Basic
CUST00347,24.0,30316.97,85.59,1.43,East,Gold
CUST00348,51.0,79258.59,57.78,3.61,East,Silver
CUST00349,24.0,27761.54,66.46,8.91,East,Basic
CUST00350,44.0,75962.05,56.48,0.88,South,Basic
CUST00351,24.0,49730.04,59.44,5.75,East,Basic
CUST00352,49.0,71081.03,40.98,2.28,North,Basic
CUST00353,48.0,75284.87,28.76,13.84,East,Basic
CUST00354,47.0,74479.81,40.14,,West,Basic
CUST00355,51.0,46716.41,40.16,2.7,West,Gold
CUST00356,62.0,116983.68,55.76,4.88,West,Gold
CUST00357,56.0,102929.74,48.95,0.12,South,Gold
CUST00358,39.0,70779.45,36.12,,North,Basic
CUST00359,49.0,71297.64,44.96,1.13,East,Basic
CUST00360,64.0,104394.55,66.9,4.6,North,Platinum
CUST00361,29.0,54665.95,53.4,2.72,South,Gold
CUST00362,28.0,46136.57,80.36,1.34,East,Silver
CUST00363,26.0,28176.5,85.87,8.2,East,Basic
CUST00364,50.0,86461.72,5.56,0.07,East,Basic
CUST00365,,100313.3,34.18,1.72,West,Silver
CUST00366,62.0,109060.51,,1.27,North,Silver
CUST00367,53.0,52976.04,19.82,0.88,West,Basic
CUST00368,24.0,44280.74,70.32,2.87,East,Platinum
CUST00369,55.0,121158.31,22.26,2.87,South,Silver
CUST00370,65.0,55599.7,27.98,2.52,South,Silver
CUST00371,27.0,33665.79,72.05,3.44,East,Basic
CUST00372,18.0,40998.12,57.71,1.02,East,Gold
CUST00373,18.0,38131.97,84.92,9.75,,Gold
CUST00374,27.0,31850.9,59.84,0.2,North,Basic
CUST00375,27.0,22047.43,59.67,8.12,North,Silver
CUST00376,,86845.38,,0.22,South,Silver
CUST00377,37.0,69822.65,47.94,1.31,South,Gold
CUST00378,30.0,25419.29,94.35,,East,Basic
CUST00379,41.0,65678.07,32.23,,West,Gold
CUST00380,50.0,67133.78,45.94,1.82,,Silver
CUST00381,63.0,82421.09,60.79,1.63,South,Basic
CUST00382,56.0,78422.5,0.0,3.8,North,Basic
CUST00383,43.0,74160.82,39.36,1.47,West,Basic
CUST00384,26.0,22064.32,58.99,1.93,East,Basic
CUST00385,67.0,105339.81,44.28,1.2,North,Silver
CUST00386,38.0,61075.14,42.12,13.56,South,Gold
CUST00387,63.0,90210.58,48.75,0.78,East,Basic
CUST00388,20.0,29447.65,71.77,1.93,West,Platinum
CUST00389,74.0,75104.54,46.23,2.98,East,Basic
CUST00390,46.0,70752.55,26.81,1.42,South,Silver
CUST00391,29.0,41605.71,79.63,0.08,East,Platinum
CUST00392,35.0,76870.46,66.78,2.62,,Gold
CUST00393,45.0,71172.54,48.72,1.9,East,Silver
CUST00394,25.0,,94.63,0.06,North,Gold
CUST00395,47.0,52841.88,34.82,2.57,East,Basic
CUST00396,,129015.86,74.99,0.94,North,Basic
CUST00397,21.0,31579.49,85.67,,West,Silver
CUST00398,37.0,65876.28,37.74,0.14,West,Basic
CUST00399,45.0,84378.18,65.39,1.71,East,Basic
CUST00400,23.0,31289.6,33.42,0.98,East,Basic
CUST00401,63.0,,78.59,0.19,North,Platinum
CUST00402,58.0,110504.58,44.21,6.5,West,Gold
CUST00403,27.0,47036.05,64.7,1.93,South,Gold
CUST00404,61.0,89887.21,,1.38,South,Gold
CUST00405,51.0,87849.4,33.69,4.71,East,Basic
CUST00406,28.0,43527.82,89.32,1.83,West,Basic
CUST00407,51.0,78881.64,53.99,3.22,South,Silver
CUST00408,28.0,35755.76,77.01,1.91,East,Silver
CUST00409,59.0,72520.56,64.65,1.68,East,Basic
CUST00410,51.0,67490.73,39.98,3.32,South,Silver
CUST00411,39.0,51761.14,41.32,,East,Silver
CUST00412,23.0,31404.13,63.12,1.86,West,Basic
CUST00413,64.0,100668.83,75.28,9.54,South,Basic
CUST00414,31.0,34131.71,93.19,0.43,West,Silver
CUST00415,32.0,28713.63,73.6,5.28,West,Silver
CUST00416,30.0,30869.62,65.61,0.82,West,Platinum
CUST00417,61.0,107037.91,37.12,6.36,East,Silver
CUST00418,26.0,40404.85,83.03,0.51,West,Gold
CUST00419,59.0,115233.21,95.91,1.46,East,Gold
CUST00420,46.0,71096.57,25.94,2.68,West,Basic
CUST00421,26.0,39586.9,87.71,11.9,East,Silver
CUST00422,28.0,29851.51,98.36,0.89,West,Silver
CUST00423,25.0,32923.09,81.14,4.32,West,Silver
CUST00424,52.0,87374.07,34.26,1.4,,Basic
CUST00425,60.0,100466.43,67.62,4.9,East,Platinum
CUST00426,28.0,27144.72,78.36,3.17,East,Platinum
CUST00427,65.0,123595.75,49.4,0.26,West,Basic
CUST00428,26.0,35869.62,72.84,,South,Basic
CUST00429,58.0,88639.45,37.69,0.47,North,Basic
CUST00430,62.0,104393.93,52.3,1.03,West,Gold
CUST00431,63.0,78239.62,44.88,2.57,East,Silver
CUST00432,43.0,74394.86,23.97,0.65,South,Basic
CUST00433,64.0,102232.01,89.06,8.15,East,Gold
CUST00434,31.0,32084.57,99.86,1.79,North,Basic
CUST00435,23.0,31635.93,63.66,2.28,South,Silver
CUST00436,18.0,30729.63,60.01,2.4,South,Basic
CUST00437,41.0,58412.47,46.45,1.5,South,Silver
CUST00438,,75982.99,31.43,1.33,West,Silver
CUST00439,62.0,76726.97,30.61,3.02,East,Basic
CUST00440,60.0,114351.01,50.16,5.99,North,Silver
CUST00441,24.0,41022.98,100.0,4.17,South,Platinum
CUST00442,40.0,93425.92,47.22,0.62,North,Silver
CUST00443,26.0,22674.12,53.41,6.7,West,Platinum
CUST00444,26.0,37391.35,69.37,3.73,South,Silver
CUST00445,50.0,90964.68,56.25,6.52,South,Gold
CUST00446,56.0,64150.31,51.32,1.28,South,Basic
CUST00447,46.0,117216.71,52.13,6.68,North,Gold
CUST00448,24.0,34069.87,75.83,0.69,West,Basic
CUST00449,31.0,80712.44,40.59,4.87,East,Basic
CUST00450,25.0,,81.81,,South,Basic
CUST00451,71.0,91621.42,47.96,0.01,South,Basic
CUST00452,51.0,86887.61,36.26,8.06,East,Platinum
CUST00453,30.0,27678.19,43.6,6.86,North,Platinum
CUST00454,26.0,,46.52,,West,Gold
CUST00455,23.0,,56.55,1.11,East,Basic
CUST00456,68.0,106899.05,40.4,4.33,North,Gold
CUST00457,47.0,55811.19,32.49,4.29,East,Gold
CUST00458,55.0,98233.25,19.38,3.94,West,Basic
CUST00459,34.0,65229.39,29.41,0.23,North,Silver
CUST00460,51.0,76502.54,44.03,0.68,East,Silver
CUST00461,28.0,44570.72,62.92,0.39,East,Basic
CUST00462,58.0,91524.75,29.32,2.14,West,Silver
CUST00463,21.0,33657.01,92.79,0.08,East,Gold
CUST00464,48.0,75697.7,31.61,0.39,East,Basic
CUST00465,31.0,75959.67,49.46,2.68,West,Silver
CUST00466,49.0,69398.36,,0.47,West,Silver
CUST00467,,75747.39,80.9,3.86,South,Gold
CUST00468,22.0,26637.9,57.47,0.34,East,Platinum
CUST00469,44.0,,78.9,7.22,North,Gold
CUST00470,52.0,,52.65,0.78,,Silver
CUST00471,44.0,66925.51,43.9,0.89,West,Silver
CUST00472,27.0,42807.87,66.46,0.02,South,Silver
CUST00473,20.0,33758.96,55.83,4.12,East,Silver
CUST00474,24.0,46447.35,84.88,1.87,West,Basic
CUST00475,25.0,45947.76,76.4,13.29,North,Silver
CUST00476,43.0,,57.74,0.4,East,Gold
CUST00477,44.0,,49.42,5.76,West,Silver
CUST00478,36.0,62308.47,24.93,0.61,West,Gold
CUST00479,47.0,78544.86,45.85,2.94,North,Silver
CUST00480,34.0,60852.6,25.1,1.13,West,Basic
CUST00481,25.0,,60.68,2.04,West,Basic
CUST00482,46.0,86583.17,42.87,0.43,North,Basic
CUST00483,24.0,23250.88,45.66,3.2,East,Basic
CUST00484,31.0,40062.95,64.62,1.59,,Silver
CUST00485,44.0,55274.56,45.97,0.01,West,Basic
CUST00486,56.0,54282.54,46.38,1.0,North,Basic
CUST00487,22.0,26311.41,100.0,0.01,West,Basic
CUST00488,41.0,105958.42,38.74,0.52,East,Gold
